address,description,name
"853 Palma Street Entre Montevideo y Ayolas, Asuncion 1202 Paraguay",,Palmaroga Hotel
"Oliva 1275, Asuncion Paraguay",,Costanera Hostel Asunción
"25 De Mayo esquina Curupayty, Asuncion Paraguay",,Premier Hill Suites Hotel
,,Danieri Asunción Hotel
"15 De Agosto 472 C/ Oliva, Asuncion Paraguay",,Hotel Bristol
"Avda. Santa Teresa, esq.Gumercindo Sosa a 2 Cuadras de la Avda.Aviadores del Chaco, Asuncion Paraguay",,Hotel Le Pelican
"Roa Denis Cap. 1455, Asuncion 1424 Paraguay",,Portal del Sol Hotel
"Chile 980, Asuncion 001101 Paraguay",,Nobile Suites Excelsior Asunción
"Malutin 482 / Bertoni y Del Maestro Barrio Villa Morra, Asuncion 1825 Paraguay",,Hotel Maison Suisse
"Colón 415 Esq. Estrella, Asuncion 1130 Paraguay",,Asuncion Palace Hotel
"Aviadores Del Chaco Avda. 1761, Asuncion 1771 Paraguay",,Aloft Asuncion
"Sgto. Primero Manuel Benitez 1577, Asuncion PY1749 Paraguay",,Hotel Westfalenhaus
"Estados Unidos 341, Asuncion 1514 Paraguay",,Hotel Cecilia
"Espana 202, Asuncion 1805 Paraguay",,Hotel Palmas Del Sol
"Dr Francisco Morra 813 (Esquina Tte. H. Vera), Asuncion 1813 Paraguay",,Factoria Hotel
"Iturbe 1156, Asuncion Py. Between Rodriguez de Francia St. And Republica de Colombia St, Asuncion 1156 Paraguay",,El Nomada Hostel
